Date,Infected,Deaths,Recovered
22/01/2020,549,17,28
23/01/2020,643,18,30
24/01/2020,920,26,36
25/01/2020,1406,42,39
26/01/2020,2075,56,49
27/01/2020,2877,82,58
28/01/2020,5509,131,101
29/01/2020,6087,133,120
30/01/2020,8141,171,135
31/01/2020,9802,213,214
01/02/2020,11891,259,275
02/02/2020,16630,361,463
03/02/2020,19716,425,614
04/02/2020,23707,491,843
05/02/2020,27440,563,1115
06/02/2020,30587,633,1476
07/02/2020,34110,718,1999
08/02/2020,36814,805,2596
09/02/2020,39829,905,3219
10/02/2020,42354,1012,3918
11/02/2020,44386,1112,4636
12/02/2020,44759,1117,5082
13/02/2020,59895,1369,6217
14/02/2020,66358,1521,7977
15/02/2020,68413,1663,9298
16/02/2020,70513,1766,10755
17/02/2020,72434,1864,12462
18/02/2020,74211,2003,14206
19/02/2020,74619,2116,15962
20/02/2020,75077,2238,18014
21/02/2020,75550,2238,18704
22/02/2020,77001,2443,22699
23/02/2020,77022,2445,23187
24/02/2020,77241,2595,25015
25/02/2020,77670,2665,27676
26/02/2020,78166,2715,30084
27/02/2020,78600,2746,32930
28/02/2020,78928,2790,36299
29/02/2020,79356,2837,39320
01/03/2020,79932,2870,42126
02/03/2020,80118,2914,44854
03/03/2020,80243,2947,47450
04/03/2020,80368,2983,50001
05/03/2020,80537,3013,52292
06/03/2020,80583,3042,53898
07/03/2020,80770,3070,55539
08/03/2020,80823,3100,57388
09/03/2020,80860,3123,58804
10/03/2020,80887,3139,60181
11/03/2020,80921,3161,61644
12/03/2020,80931,3172,62901
13/03/2020,80945,3180,64196
14/03/2020,80977,3193,65660
15/03/2020,81003,3203,67017
16/03/2020,81033,3217,67910
17/03/2020,81058,3230,68798
18/03/2020,81102,3241,69755
19/03/2020,81156,3249,70535
20/03/2020,81250,3253,71266
21/03/2020,81305,3259,71857
22/03/2020,81397,3265,72362
23/03/2020,81496,3274,72819
24/03/2020,81591,3281,73280
25/03/2020,81661,3285,73773
26/03/2020,81782,3291,74181
